cl1,cl2,dist,new_size
486,766,0.103896,6
677,753,0.10434,16
528,639,0.104767,5
752,764,0.10497,8
272,750,0.105164,8
246,772,0.105328,9
251,276,0.105918,2
728,759,0.105931,4
119,588,0.106497,3
625,739,0.106647,5
217,662,0.107133,3
574,732,0.107141,14
715,743,0.107259,17
232,773,0.107701,10
305,372,0.107716,2
765,780,0.107841,19
704,724,0.108008,9
650,754,0.108087,11
751,763,0.108196,15
609,784,0.108842,12
169,757,0.109785,13
177,714,0.110312,4
137,737,0.110499,7
788,790,0.110658,20
456,786,0.11107,16
20,59,0.111189,2
110,654,0.111562,4
420,723,0.111569,7
735,792,0.112052,20
769,777,0.112565,21
594,738,0.113058,10
275,779,0.113187,15
658,796,0.113357,24
713,749,0.11349,7
292,705,0.113917,3
736,797,0.114308,27
550,794,0.114356,6
131,204,0.114413,2
57,803,0.114826,28
689,799,0.114894,17
791,804,0.11519,26
282,584,0.115249,4
309,762,0.116747,3
465,800,0.116785,25
595,802,0.117059,5
781,807,0.117085,27
317,540,0.117345,3
610,741,0.118177,6
8,36,0.118357,2
761,808,0.118661,29
676,785,0.119037,13
301,783,0.119567,20
604,778,0.12068,5
813,820,0.121133,32
160,789,0.121266,5
481,681,0.121282,5
811,823,0.121947,30
313,598,0.122344,3
318,381,0.122431,2
64,806,0.122584,29
323,819,0.122689,21
755,767,0.123164,19
719,748,0.123265,4
304,810,0.12336,4
289,746,0.12352,13
718,795,0.123875,11
597,821,0.124061,34
404,408,0.124708,2
41,827,0.124865,30
551,688,0.125238,7
818,835,0.125413,15
306,311,0.125505,2
815,817,0.125653,35
145,150,0.126286,2
140,161,0.126768,2
805,840,0.126849,37
619,671,0.126968,5
727,836,0.127769,35
770,809,0.127941,9
833,838,0.129084,26
824,829,0.12913,49
69,686,0.129366,6
798,845,0.129688,45
76,601,0.13028,3
793,850,0.130425,47
580,839,0.130587,6
847,848,0.13104,75
680,682,0.131144,5
472,478,0.131238,2
849,852,0.131338,53
771,822,0.13168,13
801,857,0.131788,60
842,858,0.131808,15
27,851,0.132535,4
441,854,0.133727,76
712,832,0.13391,15
707,831,0.133963,7
526,843,0.134524,39
626,862,0.134665,79
830,844,0.134995,9
340,814,0.135047,4
234,834,0.136044,35
307,868,0.136159,5
33,48,0.136778,2
860,865,0.136937,54
499,866,0.137066,80
774,846,0.137073,11
812,869,0.137904,40
837,872,0.138999,61
760,871,0.139194,4
863,875,0.13932,55
721,873,0.139354,86
401,879,0.142519,87
874,878,0.14319,66
768,880,0.143558,93
828,853,0.143804,27
695,729,0.143816,6
135,876,0.143943,62
62,670,0.144092,3
335,883,0.145061,28
227,881,0.14534,67
344,382,0.145681,2
825,884,0.145915,9
468,882,0.146106,94
787,885,0.146458,74
89,861,0.147646,5
47,72,0.147753,2
26,859,0.148206,61
776,892,0.154562,77
886,894,0.156595,5
112,196,0.158527,2
130,197,0.158669,2
235,269,0.158859,2
134,678,0.159881,3
83,895,0.160923,62
519,891,0.162553,96
897,902,0.162711,67
893,904,0.162799,72
433,903,0.162816,97
696,905,0.163183,76
205,888,0.165435,68
575,782,0.166618,4
84,907,0.167011,77
60,910,0.167236,78
867,889,0.167982,11
338,341,0.168569,2
855,908,0.169244,73
183,697,0.169277,3
674,887,0.169341,34
407,906,0.170684,98
257,914,0.170741,74
117,896,0.171691,78
100,911,0.17276,79
870,916,0.173502,39
21,708,0.173791,4
864,921,0.174026,46
890,913,0.174235,11
756,841,0.174521,4
189,919,0.175706,79
138,171,0.177662,2
369,924,0.178499,12
611,926,0.179333,81
775,918,0.179392,78
336,346,0.180609,2
901,929,0.183749,84
912,923,0.184306,57
265,734,0.184552,4
322,826,0.185227,3
380,928,0.186761,13
933,936,0.187604,70
935,937,0.191378,73
915,925,0.192299,7
270,920,0.192495,80
900,930,0.194388,80
459,917,0.194889,99
899,932,0.195915,86
101,877,0.200305,5
127,898,0.201171,3
569,940,0.201958,83
260,295,0.203595,2
65,946,0.209705,84
856,942,0.209955,101
402,949,0.210818,102
939,943,0.210836,93
909,938,0.213732,77
297,941,0.215025,81
816,948,0.215805,86
388,950,0.216702,103
71,954,0.217077,87
19,922,0.218104,5
28,956,0.218321,88
699,951,0.220284,95
957,958,0.221729,93
934,953,0.223288,85
7,960,0.228041,94
747,952,0.228201,79
329,963,0.23147,80
79,962,0.243624,95
209,961,0.244962,86
945,959,0.246028,98
153,967,0.248134,99
947,966,0.253681,88
223,278,0.25609,2
279,969,0.257657,89
447,955,0.258191,104
321,964,0.269815,81
434,972,0.270741,105
745,971,0.281678,91
927,968,0.28281,101
78,638,0.288893,4
758,973,0.291331,83
975,977,0.291405,95
422,974,0.292567,106
44,965,0.302034,96
944,981,0.302505,101
979,982,0.305426,196
491,980,0.307173,107
931,978,0.311277,85
450,984,0.318945,108
347,985,0.337353,86
458,986,0.337822,109
470,988,0.341379,110
17,983,0.388783,197
970,990,0.414915,199
387,989,0.472784,111
488,992,0.507822,112
157,976,0.531336,102
485,993,0.618175,113
987,995,0.804226,199
991,996,1.96681,398
994,997,2.46743,500
