cl1,cl2,dist,new_size
3,8,0.023727,2
22,33,0.0325691,2
67,76,0.0613807,2
62,79,0.0656796,2
4,10,0.0697348,2
72,75,0.0726767,2
37,48,0.0800158,2
41,56,0.0822999,2
57,73,0.0854147,2
63,78,0.0877881,2
19,20,0.090325,2
85,97,0.0974305,2
50,52,0.0976303,2
23,34,0.10417,2
107,42,0.108174,3
83,94,0.113027,2
65,68,0.114648,2
60,105,0.114817,3
11,110,0.115671,3
58,102,0.12101,3
117,77,0.123541,4
27,28,0.128901,2
29,36,0.132419,2
106,55,0.133644,3
123,38,0.137388,4
80,95,0.139602,2
121,113,0.142038,4
35,122,0.142296,3
119,71,0.144457,4
86,93,0.152971,2
16,118,0.16139,4
130,15,0.162494,5
116,109,0.164443,4
39,46,0.165773,2
128,64,0.178471,5
0,100,0.179478,3
132,134,0.181107,9
135,104,0.181811,5
108,69,0.189207,3
5,131,0.193849,6
120,103,0.194246,6
129,115,0.201685,4
1,2,0.202538,2
137,142,0.206382,7
112,124,0.207784,6
133,144,0.209577,8
101,30,0.209743,3
53,114,0.210627,4
40,147,0.212409,5
140,70,0.216629,7
88,99,0.224278,2
89,91,0.224783,2
111,150,0.224825,4
24,127,0.232432,4
145,47,0.233383,9
143,9,0.233818,8
13,139,0.236977,7
153,146,0.237035,7
44,54,0.237669,2
141,151,0.240961,6
154,148,0.241224,14
155,156,0.254883,15
136,149,0.26542,16
126,32,0.271935,5
160,158,0.271951,16
162,138,0.277165,19
159,98,0.282591,7
157,163,0.298344,12
25,167,0.300141,13
12,14,0.300752,2
166,152,0.305069,11
59,165,0.321594,20
125,170,0.326552,13
43,164,0.341351,17
66,171,0.349665,21
87,92,0.352765,2
84,172,0.363475,14
21,168,0.363945,14
161,169,0.364261,17
176,90,0.365579,15
178,17,0.371356,18
180,18,0.379091,19
179,175,0.382664,17
82,182,0.384662,18
6,181,0.418081,20
7,184,0.421882,21
174,61,0.428348,22
81,183,0.433975,19
173,49,0.459866,18
51,188,0.498871,19
177,31,0.5187,15
74,186,0.540221,23
189,45,0.627336,20
26,190,0.748728,16
187,96,0.799264,20
185,191,1.21225,44
195,194,2.07325,64
192,196,2.1494,84
197,193,4.40598,100
