cl1,cl2,dist,new_size
1628,1738,0.0017274,2
1056,1065,0.0018184,2
284,748,0.00325635,2
501,557,0.00348793,2
1243,1326,0.00351635,2
1828,1999,0.0040516,2
1042,1156,0.00408532,2
1431,1584,0.00450106,2
1848,1875,0.00477098,2
1257,1355,0.00552828,2
1968,1970,0.00592305,2
429,470,0.00650831,2
375,1810,0.00665939,2
1506,1593,0.00683037,2
1064,1188,0.006891,2
1583,1602,0.00695137,2
240,1856,0.00730161,2
1230,1398,0.00731418,2
421,1983,0.007573,2
743,770,0.00780381,2
324,1921,0.00793104,2
927,959,0.00817774,2
689,712,0.00851249,2
697,751,0.008604,2
765,799,0.00933588,2
1615,1702,0.00988011,2
1805,1897,0.0100645,2
1661,1708,0.010225,2
84,192,0.0103576,2
1647,1663,0.0105046,2
1023,1073,0.0106095,2
1090,1091,0.0106182,2
259,1860,0.0107092,2
690,741,0.0107893,2
462,572,0.0110217,2
701,1318,0.0110579,2
1286,1342,0.0111187,2
2,92,0.0111522,2
653,789,0.0112193,2
125,127,0.0113304,2
457,546,0.0114098,2
304,1890,0.0114255,2
1419,1425,0.0114812,2
1359,1389,0.0115714,2
411,1986,0.0116188,2
865,921,0.0119705,2
1861,1914,0.0119871,2
878,1012,0.0123234,2
1515,1568,0.0123582,2
525,617,0.0125057,2
1471,1551,0.0128676,2
847,854,0.0131879,2
1507,1520,0.0132901,2
1088,1169,0.0133411,2
204,225,0.0135206,2
1423,1458,0.0136501,2
312,1825,0.0136952,2
36,191,0.0137914,2
798,1399,0.014104,2
776,804,0.0143064,2
942,948,0.0149855,2
1122,1137,0.0150837,2
772,815,0.0151012,2
1659,1773,0.0151255,2
891,984,0.0151891,2
1026,1223,0.0153148,2
1487,2007,0.0153293,3
1656,1749,0.0153459,2
1873,1989,0.0153474,2
256,649,0.0153891,2
887,994,0.015472,2
1421,1454,0.015514,2
472,491,0.0155297,2
410,1994,0.0156469,2
1264,1319,0.0157313,2
1428,1566,0.0157461,2
1081,1200,0.0157886,2
1855,1938,0.0157904,2
1737,1789,0.0159463,2
428,583,0.016073,2
1929,1967,0.01618,2
233,318,0.016227,2
2077,1976,0.016271,3
1025,1057,0.016303,2
445,459,0.0164246,2
836,931,0.0166486,2
2036,1385,0.0167603,3
254,361,0.0167976,2
1939,1990,0.0169169,2
300,1955,0.0170447,2
1865,1936,0.0172872,2
294,1962,0.0173404,2
1146,1221,0.0173488,2
349,1972,0.0173591,2
38,123,0.0174391,2
1267,1271,0.0174722,2
30,133,0.017486,2
801,1378,0.0176412,2
271,1815,0.0177587,2
2091,1924,0.0178167,3
975,1007,0.0179638,2
861,1009,0.0180053,2
331,336,0.0180289,2
237,317,0.0180982,2
367,372,0.0183976,2
399,1824,0.0184029,2
508,509,0.0184075,2
571,613,0.0184989,2
1846,1852,0.0185246,2
381,408,0.0185546,2
285,1808,0.0185728,2
1493,1572,0.0186621,2
1087,1217,0.0187941,2
216,384,0.0188678,2
340,810,0.0191586,2
131,137,0.0192068,2
247,338,0.0193325,2
1733,1758,0.0194333,2
807,817,0.0194865,2
245,354,0.0196048,2
793,1249,0.0198712,2
467,487,0.0199079,2
717,2033,0.02014,3
2065,1027,0.0202033,3
115,148,0.0202466,2
296,1940,0.0203082,2
1622,1681,0.020328,2
1247,1400,0.0203687,2
1684,2000,0.0203823,3
2053,1098,0.0203952,3
2117,1751,0.0204098,3
656,1303,0.0204685,2
668,783,0.0205037,2
244,274,0.0206761,2
935,962,0.0209059,2
2039,187,0.0210137,3
2004,1347,0.0211425,3
2028,94,0.0211849,3
779,1903,0.021496,2
383,1807,0.0215147,2
502,2079,0.0215813,3
733,1381,0.021601,2
602,610,0.0216874,2
1495,1560,0.0217786,2
1260,1372,0.0219456,2
100,159,0.0219811,2
769,1299,0.0220245,2
2029,1724,0.0221079,3
202,1947,0.022126,2
48,155,0.0221963,2
2099,2082,0.022255,6
1662,1747,0.0223084,2
1670,1750,0.0223353,2
2038,814,0.0224292,3
1020,2061,0.0226608,3
1885,2125,0.0226687,3
2155,2010,0.0226689,5
2150,1880,0.022754,7
397,1840,0.023006,2
1620,1651,0.0230713,2
1307,1387,0.0231371,2
1302,1375,0.0231549,2
537,548,0.0232214,2
214,332,0.0233951,2
468,538,0.0234905,2
1630,1712,0.0235349,2
1136,1224,0.0235499,2
837,859,0.0236003,2
430,521,0.0236374,2
322,2020,0.0236671,3
2148,1985,0.0236736,3
2120,1401,0.0236912,3
573,616,0.0236983,2
1141,1174,0.0236998,2
373,418,0.0237383,2
376,788,0.0237788,2
1054,1207,0.0238558,2
1254,2074,0.0239151,3
1373,1392,0.0239399,2
344,2018,0.0239787,3
59,66,0.0240567,2
724,778,0.0241321,2
531,594,0.0242343,2
198,1843,0.0242788,2
2135,180,0.0242886,4
1069,1084,0.0245173,2
0,22,0.0245397,2
2168,540,0.024568,3
37,86,0.024581,2
200,205,0.0245962,2
450,627,0.0246337,2
2101,943,0.0246594,3
2002,1895,0.0247058,3
1640,1715,0.0247059,2
273,2032,0.0247522,3
1283,1348,0.0247839,2
2189,260,0.0248672,3
1565,1598,0.0248866,2
2052,1547,0.0248866,3
1060,1130,0.0249467,2
280,292,0.0249913,2
2086,1374,0.0252002,4
1262,1282,0.0252975,2
277,413,0.0253354,2
287,2012,0.025436,3
90,2184,0.0254501,5
1669,1678,0.025476,2
249,1853,0.0256482,2
1905,1977,0.0256556,2
1605,1719,0.0256609,2
939,1015,0.0257111,2
650,711,0.0257383,2
33,2137,0.0258933,4
2098,1866,0.0259139,3
1878,1933,0.0260666,2
2183,2046,0.0260675,4
1645,1771,0.0261192,2
2076,1093,0.0261242,3
963,978,0.0262052,2
2169,1946,0.0262063,4
478,526,0.0262081,2
665,2161,0.0262688,3
2129,1222,0.0263141,4
1821,1847,0.0263242,2
298,1996,0.0263276,2
516,604,0.0266803,2
522,625,0.0267175,2
2083,2217,0.0267256,5
2119,1835,0.0267641,3
1052,2014,0.0268826,3
1686,1701,0.0268863,2
339,2228,0.0269053,4
2214,1912,0.0269284,3
222,2174,0.0269317,3
209,407,0.027003,2
238,1988,0.0270215,2
329,1842,0.0270888,2
2084,482,0.0272011,3
1896,2157,0.0273149,8
1076,1196,0.0273634,2
496,503,0.0273933,2
876,898,0.0274597,2
1499,2013,0.0275154,3
497,2049,0.027554,3
1859,1870,0.0277025,2
63,121,0.0278372,2
17,81,0.0278692,2
903,1004,0.0278871,2
2220,2003,0.0279246,4
2160,1314,0.0279319,3
1439,1596,0.0279434,2
1095,1115,0.0279641,2
1266,1291,0.0280108,2
1735,2151,0.0280969,3
2089,2116,0.0281477,4
1653,1664,0.0281627,2
1823,1917,0.0283315,2
327,1942,0.028357,2
356,707,0.028456,2
1452,2050,0.0284735,3
2255,1768,0.0285655,3
1252,2249,0.0285709,4
207,2104,0.0285711,3
1022,1149,0.0288581,2
2196,269,0.028883,4
2103,315,0.0290082,3
1819,1922,0.0290509,2
870,895,0.0290673,2
27,101,0.029265,2
2253,1769,0.0292988,4
1468,2242,0.029322,4
370,419,0.0294075,2
961,2047,0.0295452,3
316,2204,0.0295636,4
1820,1993,0.0295718,2
1658,1786,0.0296195,2
780,803,0.0296213,2
1521,1592,0.0296535,2
1625,1726,0.0296551,2
672,2202,0.0296988,3
2231,2213,0.0297099,7
601,609,0.0297162,2
4,177,0.0297295,2
2219,405,0.0297366,5
1813,1915,0.0298383,2
