cl1,cl2,dist,new_size
125,127,0.0113296,2
472,491,0.0155297,2
184,326,0.0160494,2
331,336,0.0180289,2
367,372,0.0183976,2
131,137,0.0192068,2
467,487,0.0199079,2
84,94,0.0211854,2
322,324,0.0236671,2
59,66,0.0240567,2
200,205,0.0245959,2
280,292,0.024992,2
459,482,0.0272011,2
83,512,0.0275853,3
97,494,0.0302809,2
122,144,0.0309257,2
447,501,0.0309716,3
481,489,0.0315727,2
513,477,0.0327498,4
13,21,0.0327503,2
397,428,0.0333119,2
259,273,0.0340343,2
29,50,0.0341298,2
373,393,0.0345329,2
384,388,0.034853,2
19,46,0.0350582,2
370,523,0.0361724,3
516,466,0.0362775,4
315,317,0.0369282,2
165,170,0.0393554,2
79,475,0.040604,2
355,526,0.0407078,4
450,479,0.0409104,2
509,490,0.0412145,3
23,26,0.041238,2
180,187,0.042111,2
11,17,0.0424912,2
319,325,0.0431466,2
177,178,0.0431934,2
234,246,0.0446957,2
271,298,0.0446996,2
469,473,0.0453885,2
69,90,0.045517,2
505,140,0.0461334,3
118,146,0.047079,2
527,471,0.047575,5
139,161,0.0480818,2
411,419,0.048268,2
119,157,0.0505027,2
309,330,0.0507693,2
25,525,0.0509512,3
77,517,0.0512884,3
350,378,0.0514568,2
535,510,0.0528955,4
545,532,0.0529439,7
71,87,0.0531419,2
5,536,0.0536644,3
32,33,0.0538393,2
220,244,0.0544486,2
533,554,0.0545601,10
3,42,0.0552539,2
359,376,0.0553064,2
404,412,0.0554607,2
92,113,0.0558229,2
73,91,0.0560953,2
311,329,0.0567231,2
407,430,0.0568384,2
141,149,0.0571993,2
98,485,0.0573321,2
15,28,0.0575737,2
74,197,0.058081,2
65,115,0.0583075,2
297,302,0.0586787,2
569,47,0.0596951,3
82,568,0.059887,3
402,445,0.0599988,2
448,461,0.0600475,2
18,534,0.060802,3
557,52,0.0627585,3
72,80,0.0629523,2
109,484,0.0642335,2
226,539,0.0649293,3
537,346,0.0649472,3
547,444,0.0661574,3
155,164,0.0664258,2
4,550,0.066646,4
561,381,0.0668192,3
114,530,0.067609,3
377,392,0.0677494,2
135,567,0.0684433,3
551,496,0.068706,4
264,288,0.0695533,2
348,361,0.0696966,2
236,251,0.0700086,2
542,105,0.0700415,3
548,589,0.0707486,5
363,386,0.0708566,2
222,593,0.0710211,3
117,136,0.0714671,2
443,575,0.0716393,3
464,478,0.0719008,2
426,583,0.0719968,4
110,451,0.0726478,2
260,269,0.0736643,2
214,218,0.0738876,2
565,503,0.0739252,4
176,199,0.074082,2
514,559,0.0742582,12
406,416,0.0748242,2
468,498,0.0750506,2
564,499,0.0751026,3
254,299,0.0751421,2
275,285,0.0754271,2
132,147,0.0755155,2
580,600,0.0774224,4
375,380,0.0775134,2
507,100,0.0778235,3
64,587,0.0779817,4
414,601,0.0783841,5
544,163,0.0786426,3
597,252,0.078766,4
463,480,0.0787893,2
255,611,0.0788574,3
577,53,0.0793719,4
283,622,0.079459,4
400,401,0.0795202,2
85,460,0.079645,2
369,383,0.080514,2
549,321,0.0805532,3
290,572,0.0809848,3
579,96,0.0811284,3
307,528,0.081242,3
162,529,0.0818479,3
610,614,0.0819817,7
560,54,0.0822477,3
210,253,0.0828476,2
0,634,0.0830797,4
624,262,0.0832044,5
556,48,0.0833085,4
78,108,0.0837498,2
313,338,0.084104,2
637,591,0.084886,7
630,88,0.0849733,4
418,618,0.0853627,6
86,111,0.0854926,2
14,585,0.0855158,5
24,35,0.0855487,2
599,408,0.0855849,4
7,519,0.0857532,3
334,335,0.0859327,2
36,45,0.0863179,2
396,413,0.0864423,2
151,158,0.0866894,2
594,563,0.0867657,5
60,99,0.0874524,2
586,592,0.0875026,5
291,511,0.0879332,3
123,652,0.0879363,3
415,434,0.0879364,2
289,293,0.0883438,2
654,590,0.0884303,6
8,30,0.0884688,2
223,581,0.0890572,4
500,160,0.0893635,3
153,156,0.089507,2
257,629,0.0897447,4
660,607,0.0904576,18
6,10,0.0904899,2
657,663,0.0906476,6
2,38,0.0913881,2
357,365,0.0920523,2
347,655,0.0923723,6
644,449,0.0923764,3
653,617,0.0924719,9
672,633,0.0926734,10
582,345,0.0932349,4
570,203,0.093998,3
56,95,0.0942522,2
387,524,0.0943563,3
181,676,0.0948642,4
261,263,0.0955951,2
337,339,0.0956313,2
673,602,0.0959622,11
555,107,0.0960026,3
398,431,0.0961915,2
670,371,0.0968609,3
662,224,0.0984275,5
636,645,0.0991189,9
642,112,0.0992917,5
215,620,0.0995391,5
1,623,0.0997483,5
680,266,0.0999805,3
284,300,0.100022,2
20,522,0.100054,3
121,595,0.100177,6
452,488,0.100364,2
191,202,0.100657,2
553,207,0.100666,5
656,304,0.100763,4
308,605,0.100773,5
687,12,0.100894,10
366,395,0.101386,2
258,287,0.102374,2
399,625,0.102668,3
124,668,0.103675,7
598,145,0.103697,3
241,242,0.104097,2
691,698,0.104845,7
286,692,0.105026,3
621,474,0.105435,3
665,707,0.105979,11
638,646,0.106475,6
465,497,0.106632,2
531,596,0.106748,6
627,389,0.107283,3
616,666,0.107406,21
216,686,0.107459,6
671,504,0.107926,8
639,674,0.108184,12
228,235,0.109258,2
631,320,0.110556,4
16,22,0.11063,2
103,679,0.110728,5
133,632,0.110836,4
722,208,0.111717,6
68,70,0.111789,2
700,711,0.11189,16
689,217,0.111922,6
715,518,0.112481,25
718,89,0.112516,13
612,708,0.112761,5
729,682,0.113812,24
677,457,0.114127,3
101,576,0.114356,3
713,385,0.11461,7
717,734,0.115808,15
58,688,0.116019,6
148,664,0.116062,3
351,391,0.11728,2
552,382,0.117785,3
684,442,0.117798,3
278,282,0.118089,2
225,237,0.118117,2
726,669,0.118192,18
720,675,0.11841,8
194,628,0.11919,4
81,731,0.119717,25
410,421,0.119826,2
705,142,0.120678,4
649,343,0.121369,3
746,728,0.121734,50
182,209,0.121963,2
571,750,0.122002,52
455,541,0.12269,3
648,690,0.123188,8
606,697,0.124522,7
752,495,0.124959,53
227,248,0.125221,2
186,755,0.128975,8
758,751,0.129088,10
267,279,0.129722,2
724,759,0.130215,16
647,566,0.130703,6
694,166,0.130937,7
578,754,0.131183,11
735,678,0.13259,18
765,739,0.133332,21
764,44,0.133542,12
721,40,0.133792,3
608,762,0.134768,8
769,643,0.135727,14
736,756,0.136447,59
425,520,0.137072,3
706,243,0.137662,3
651,772,0.137712,5
716,727,0.138361,12
745,195,0.140524,5
775,238,0.141023,13
683,76,0.142495,4
748,763,0.142831,11
433,658,0.142852,3
354,766,0.143193,22
